model,target,property,unit,mean_fold_r2,sd_fold_r2,median_fold_r2,min_fold_r2,max_fold_r2,oof_r2,oof_rmse,oof_mae,rank_by_mean_fold_r2
XGBoost,Y01,Mass-based net heat of combustion,MJ kg−1,0.9163870296081086,0.03636641984365138,0.9174956904203848,0.8776046326406203,0.9593651094248107,0.9280080774518545,0.35247885339635643,0.20098863046621104,2
RF,Y01,Mass-based net heat of combustion,MJ kg−1,0.9202532124887544,0.04479596256418939,0.9185578155667136,0.8728264593013944,0.9851513871143769,0.9281736501591626,0.3520732907280723,0.156642777258817,1
SVR,Y01,Mass-based net heat of combustion,MJ kg−1,0.9107727518700346,0.02806943542752004,0.9062984069342139,0.8737707610362699,0.9443469000453514,0.9270748692342454,0.35475603277198436,0.16520200674254218,3
ANN,Y01,Mass-based net heat of combustion,MJ kg−1,0.8702428227782922,0.049458837270473024,0.8527625535350765,0.8257881348230629,0.9537240649009705,0.8874977029891142,0.440627781776178,0.21583135945760734,4
XGBoost,Y02,Volumetric net heat of combustion,MJ L−1,0.8110054124420536,0.0835719213101882,0.8140770274681369,0.7022899555294213,0.9178519825149142,0.8193965316340244,1.2269049746673106,0.7820753620288989,2
RF,Y02,Volumetric net heat of combustion,MJ L−1,0.8210069720291386,0.09464492110084327,0.8654811512471436,0.6739437014887928,0.9141990446022463,0.8205919526741695,1.2228377685325944,0.8012376087432153,1
SVR,Y02,Volumetric net heat of combustion,MJ L−1,0.8002484410968249,0.10200134171919344,0.8232425527054155,0.6328957261534998,0.8882443282364433,0.80239203262054,1.2833647596273101,0.7585132247632034,3
ANN,Y02,Volumetric net heat of combustion,MJ L−1,0.7358858505284619,0.10857531675121863,0.7907474131986909,0.6043797443607694,0.8433510872721667,0.720159932527217,1.5272243246582575,0.9878511320913256,4
XGBoost,Y03,Density,g cm−3,0.883353452035123,0.03225926533942819,0.8977014248787686,0.8487233509411508,0.9209628356472013,0.90270985711658,0.02302804273768718,0.016537998974121577,2
RF,Y03,Density,g cm−3,0.860615281310565,0.03812369946534124,0.8620044194161671,0.8172576279366759,0.9063578660255295,0.8884543606048859,0.024657492222941942,0.01847732377209296,3
SVR,Y03,Density,g cm−3,0.8988544990981309,0.018930315887571082,0.8969348452457083,0.8790303891477846,0.9201964208770728,0.9178903984017137,0.021155319010511587,0.014554654609602966,1
ANN,Y03,Density,g cm−3,0.8600472524440171,0.04701706348157799,0.8568572753275712,0.8045281063074822,0.9169716667503853,0.8835205129072647,0.025196912682810373,0.01790484754200068,4
XGBoost,Y04,Solid–liquid phase-transition temperature,°C,0.7162064137375248,0.055810031691896744,0.6890937564300088,0.6598858985762859,0.786709371508247,0.7484018672557438,22.954942955913413,18.045727573227882,1
RF,Y04,Solid–liquid phase-transition temperature,°C,0.6860613286027406,0.061266317499844486,0.687159497040218,0.5943786820751984,0.7667318805742409,0.722799531646986,24.094587241224296,19.139786256556388,3
SVR,Y04,Solid–liquid phase-transition temperature,°C,0.7085434256289427,0.10563894381901098,0.7626789115453974,0.592925795530292,0.8075795352757945,0.7338653659342773,23.608761731498948,17.29517122270335,2
ANN,Y04,Solid–liquid phase-transition temperature,°C,0.4467576519315054,0.12913495957146584,0.4767526018902575,0.2829177056309524,0.6092116236014893,0.49115112634461633,32.64501855691569,23.094721733924175,4
XGBoost,Y05,Boiling point,°C,0.9495291742845702,0.024206525146416084,0.9572053164159544,0.917542866938849,0.9723205575677524,0.9570614052639977,14.007688322491576,11.243613045043945,3
RF,Y05,Boiling point,°C,0.9175874862637544,0.02607138791593603,0.9178835348188625,0.8833068447369393,0.9477270269425764,0.9284245384269335,18.085254935261638,14.692418547603168,4
SVR,Y05,Boiling point,°C,0.973142388192823,0.016706983713691958,0.9749754238590601,0.9496500148382635,0.9890632119161978,0.9764869897262641,10.365653164307096,7.238664037784517,1
ANN,Y05,Boiling point,°C,0.9634907433531043,0.030029596991010796,0.9763925608182649,0.9101503501379384,0.9806116745836627,0.965477125052116,12.5601849351741,8.63631245111931,2
XGBoost,Y06,Flash point,°C,0.9417104477368247,0.022857916496146553,0.954749545592134,0.9095011569913483,0.9625704172260241,0.9487462024535979,10.496869454520464,8.39156011512175,3
RF,Y06,Flash point,°C,0.9256802878744382,0.02596342609363447,0.9323815281385848,0.8850794726618164,0.9484893418462699,0.9350361753898067,11.817689202283214,9.694381777203546,4
SVR,Y06,Flash point,°C,0.9659647755649008,0.018764248721544075,0.9638837127231294,0.938928073846551,0.9863791611957625,0.9691480838866078,8.14400145269353,5.6668112800427926,1
ANN,Y06,Flash point,°C,0.9506678128642848,0.03835819171222395,0.9664945748675183,0.885631452821657,0.9788022547114318,0.9531397563839448,10.03688718229335,6.54916464557731,2
XGBoost,Y07,Kinematic viscosity at 40 °C,mm² s−1,0.8438669196745066,0.09371258739860702,0.8601212532521234,0.7267111724242115,0.9371209585548194,0.8649059911068957,0.45518661413786793,0.2468690496137503,2
RF,Y07,Kinematic viscosity at 40 °C,mm² s−1,0.841758013138849,0.07974992472507232,0.8250620673654758,0.7482260066720972,0.9544289215534827,0.8587887345861062,0.4653782795720999,0.26487678819092103,3
SVR,Y07,Kinematic viscosity at 40 °C,mm² s−1,0.8617381317498015,0.098602180673642,0.9031639525476232,0.7410798086011307,0.9749377127443657,0.8839897768734717,0.42181261937548403,0.19181846127109456,1
ANN,Y07,Kinematic viscosity at 40 °C,mm² s−1,0.8112371672085492,0.12128972384334304,0.8555769974691476,0.6303410517966904,0.9133883893823632,0.847194220880267,0.4841069606782999,0.2685948393295799,4
